Title,Form-factor,Category of BCI,reality factor,neurafictionality,neuroptimism,BCI forecast,Near Future,prediction,,Name of BCI,Image,Cover,Date,Type of Media (tentative),Utopia/Dystopia - tech-wise,Level of invasiveness,Description,Keywords,Author/Directed by,Distributed by,Production Company,Link,Publisher (Novels/Games),Quotes,Notes,Year,Utopia/Dystopia in the media,years since publication,RF: advertisement,RF: communication,RF: consciousness,RF: control of the user,RF: dreams,RF: emotions,RF: knowledge upload,RF: linking,RF: memory,RF: perception,RF: practical,RF: reading thoughts,RF: reality,RF: recording brain activity,RF: rehabilitation,RF: robot/object control,RF: sensation,RF: stimulation,RF: storage,RF: telepathy,RF: termination,RF: tracking,RF: transfer,prediction,BCIF: communication,NF: communication,TO: communication,reality factor check,,,,,,,,,,,,,,Category,reality factor,neurafictionality,neuro-optimism,BCI forecast,,Total Works
American Dad,implant,"brain washing, manipulation",0.180327869,0.06875,0.38125,61,50,2071,,brain scrambling device,"Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-09-27_at_4.03.35_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-09-27_at_4.03.46_PM.png",Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/American_Dad_Volume_8.jpg,27-Sep-11,sitcom,dystopia,Semi-invasive,brainwashing/behaviour changing device,brainwash,Seth MacFarlane,20th Television,"20th Television, Underdog Productions",,,,,2011,Dystopia,11,,,,,,,,,,0.180327869,,,,,,,0.180327869,,,,,,,2071,,,,0.180327869,,,,,,,,,,,,,,,,,,,,
Futurama,"chair, helmet",control of the user,1,0.118343195,0.118343195,20,0,2021,,robot upgrading station,"Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Futurama_S04E14.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-09-21_at_23.00.37.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-09-21_at_23.01.02.png",Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Futurama_Volume_4%201.png,1-Sep-02,sitcom,"dystopia, utopia",Non-invasive,brainwashing tool for robots - upgrading tool,"brainwash, manipulation","David X. Cohen, Ken Keeler, Matt Groening",20th Television,Rough Draft Studios,,,,,2002,"Dystopia, Utopia",20,,1,,1,,,,,,,,,,,,,,,,,,,,2021,20,0.118343195,0.118343195,1,,,,,,,,,,,,,,,,,,,,
Suicide Squad,implant,stimulation,0.00990099,0.006666667,0.673333333,101,100,2121,,Thinking Cap,"Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Peter-Capaldi-Suicide-Squad-2-The-Thinker-SR-1.jpg, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Idris-Elba-as-Bloodsport-and-Peter-Capaldi-as-The-Thinker-in-The-Suicide-Squad.jpg",Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/The_Suicide_Squad_(film)_poster.jpg,1-Aug-21,"Movie, comics","dystopia, utopia",Invasive,"The electrodes drilled into his skull, also serve the important purpose of Thinker being able to utilize his brain to its maximum potential, enabling him to really embody his name.",enhancement,James Gunn,Warner Bros. Pictures,"Atlas Entertainment, DC Films",,,,,2021,"Dystopia, Utopia",1,,,,,,,,,,0.00990099,,,,,,,,0.00990099,,,,,,2121,,,,0.00990099,,,,,,,,,,,,,,,,,,,,
Suicide Squad,lifeform,control of the user,0.00990099,0.006666667,0.673333333,101,100,2121,,Starro,"Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-08-27_at_6.12.21_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-08-27_at_6.12.52_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-08-27_at_6.13.09_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-08-27_at_6.13.22_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-08-27_at_6.15.16_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-08-27_at_6.15.53_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-08-27_at_6.16.19_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-08-27_at_6.17.40_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-08-27_at_6.18.48_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-08-27_at_6.19.20_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/starro.jpg",Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/The_Suicide_Squad_(film)_poster%201.jpg,1-Aug-21,"Movie, comics",dystopia,Semi-invasive,"Mind Control: Starro can, besides control individual targets via his parasites, mentally influence a sizable crowd of ordinary humans with relative ease. 
Remote Mental Influence: Even without a Starro parasite directly controlling a host, The larger Starro can influence minds on a more indirect level by reaching out to the dreaming within the resting subconscious mind. Able to appropriate induced sleep within a host to ensnare them within its own wakeless fantasy allowing it to probe and assimilate the minds of countless potential vessels that it can then seed with a smaller Starro organism later on. The victim/host will have nausea, headaches, fatigue, dizziness, migraines, heavy drowsiness, or blackouts while awake from Starro's telepathically effects.","group mind, parasites",James Gunn,Warner Bros. Pictures,"Atlas Entertainment, DC Films",,,,,2021,Dystopia,1,,0.00990099,,0.00990099,,,,,,,,,,,,,,,,,,,,2121,101,0.006666667,0.673333333,0.00990099,,,,,,,,,,,,,,,,,,,,
All-Flash #12,implant,stimulation,0.441340782,0.346491228,0.785087719,179,100,2121,,Thinking Cap,"Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Gaius_Grieves_DC_Extended_Universe_001.jpeg, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Thinker_Arrowverse_001.jpeg, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Thinker_DCAU.jpeg, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Thinker_PE_01.jpeg, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Clifford_DeVoe_Prime_Earth_001.jpeg",Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/AllFlash12.jpeg,1-Aug-43,"Movie, TV Series, comics","dystopia, utopia",Invasive,"The electrodes drilled into his skull, also serve the important purpose of Thinker being able to utilize his brain to its maximum potential, enabling him to really embody his name.",enhancement,Gardner Fox,Warner Bros. Television,Warner Bros. Television,,DC Comics,,,1943,"Dystopia, Utopia",79,,,,,,,,,,0.441340782,,,,,,,,0.441340782,,,,,,2121,,,,0.441340782,,,,,,,,,,,,,,,,,,,,
Valerian and the City of a Thousand Planets,energy beam,,0.00990099,0.032467532,3.279220779,505,500,2521,,,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-08-27_at_5.09.44_PM.png,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Valerian_and_the_City_of_a_Thousand_Planets.jpg,27-Aug-17,"Movie, comics",utopia,Non-invasive,The Pearls can send out their soul or essence in the form of a wave to find a host if necessary,consciousness,Luc Besson,EuropaCorp Distribution,"EuropaCorp, TF1 Films Productions",,,,,2017,Utopia,5,,,,,,,,,,,,,,,,,,,,,,,,2521,,,,0.00990099,,,,,,,,,,,,,,,,,,,,
Valerian and the City of a Thousand Planets,"bullet, helmet",control of the user,0.090909091,0.032467532,0.357142857,55,50,2071,,,"Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-08-27_at_10.46.01_AM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-08-27_at_10.46.11_AM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-08-27_at_10.46.21_AM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-08-27_at_10.46.51_AM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-08-27_at_10.47.01_AM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-08-27_at_10.47.19_AM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-08-27_at_10.47.33_AM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-08-27_at_10.47.45_AM.png",Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Valerian_and_the_City_of_a_Thousand_Planets.jpg,27-Aug-17,"Movie, comics","dystopia, utopia",Semi-invasive,weapon that takes control of another creature's body and allows it to be piloted by a remote control operator.,"distance interfacing, military",Luc Besson,EuropaCorp Distribution,"EuropaCorp, TF1 Films Productions",,,,,2017,"Dystopia, Utopia",5,,0.090909091,,0.090909091,,,,,,,,,,,,,,,,,,,,2071,55,0.032467532,0.357142857,0.090909091,,,,,,,,,,,,,,,,,,,,
Valerian and the City of a Thousand Planets,"helmet, hologram","dreams, linking, memory, reading thoughts",0.090909091,0.032467532,0.357142857,55,50,2071,,,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-08-27_at_4.55.29_PM.png,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Valerian_and_the_City_of_a_Thousand_Planets.jpg,27-Aug-17,"Movie, comics","dystopia, utopia",Non-invasive,"Valerian's ship has a mind-scanning device that can read his thoughts, analyse his brainwaves and recreate images from his dreams.",memories,Luc Besson,EuropaCorp Distribution,"EuropaCorp, TF1 Films Productions",,,,,2017,"Dystopia, Utopia",5,,0.090909091,0.090909091,,0.090909091,,,0.090909091,0.090909091,0.090909091,,0.090909091,,,,,,,,,,,,2071,55,0.032467532,0.357142857,0.090909091,,,,,,,,,,,,,,,,,,,,
Valerian and the City of a Thousand Planets,lifeform,"memory, tracking",0.032258065,0.032467532,1.006493506,155,150,2171,,Cortex Jellyfish,"Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Cortex_Jellyfish.jpeg, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-08-27_at_10.48.46_AM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-08-27_at_10.50.12_AM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-08-27_at_10.50.40_AM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-08-27_at_10.50.58_AM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-08-27_at_10.51.33_AM.png",Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Valerian_and_the_City_of_a_Thousand_Planets.jpg,27-Aug-17,"Movie, comics","dystopia, utopia",Non-invasive,"Cortex Jellyfishes inhabit the submerged areas on the south side of the Alpha space station such as the Galana Sea. They are often found attached to the blowholes of giant aquatic creatures called Bromosaurs where they feed off of the pure water that exits the blowhole. Due to living on the Bromosaurs' blowhole all year round, the Cortex Jellyfish become hypersensitive and one would have to be extremely delicate when dealing with them. Despite essentially acting as the wildlife of Alpha, the Cortex Jellyfishes are somewhat psychic and when a sapient being puts the Jellyfish on their head down to their shoulders and thinks of someone or something, the Cortex Jellyfish would show the current location of said person or object through a kind of osmosis. However, whoever chooses to use the Jellyfishes psychic abilities must take no longer than a minute to do so to prevent the Jellyfish from feeding on their memories.","memories, tracking",Luc Besson,EuropaCorp Distribution,"EuropaCorp, TF1 Films Productions",,,,,2017,"Dystopia, Utopia",5,,,,,,,,,0.032258065,0.032258065,0.032258065,,,,,,,,,,,0.032258065,,2171,,,,0.032258065,,,,,,,,,,,,,,,,,,,,
Valerian and the City of a Thousand Planets,lifeform,memory,0.019607843,0.032467532,1.655844156,255,250,2271,,Glamopod,"Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-08-27_at_10.53.13_AM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Glamopod.jpeg",Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Valerian_and_the_City_of_a_Thousand_Planets.jpg,27-Aug-17,"Movie, comics","dystopia, utopia",Non-invasive,"Glamopods possess psychic abilities to some extent. By making physical contact with another being, they can access their memories, which enables the Glamopod to assume the appearance and voice of someone they've never seen personally, but which is familiar to the person they're in contact with.",memories,Luc Besson,EuropaCorp Distribution,"EuropaCorp, TF1 Films Productions",,,,,2017,"Dystopia, Utopia",5,,,,,,,,,0.019607843,0.019607843,,,,,,,,,,,,,,2271,,,,0.019607843,,,,,,,,,,,,,,,,,,,,
Meet the Robinsons,helmet,memory,0.157894737,0.091463415,0.579268293,95,80,2101,,Memory Scanner,"Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Memory_Scanner.jpeg, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Meet-robinsons030.jpeg, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Meet-the-robinsons-disneyscreencaps_com-1793.jpeg, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Meet-the-robinsons-disneyscreencaps_com-7319.jpeg, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Meet-the-robinsons-disneyscreencaps_com-9948.jpeg, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Meet-the-robinsons-disneyscreencaps.com-794.jpeg, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Memory_Scanner_Bowler_Hat_Guy.jpeg, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Memory_Scanner%201.jpeg",Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/MeetTheRobinsons.jpeg,26-Aug-07,"Movie, comics","dystopia, utopia",Non-invasive,"The Memory Scanner is a machine created by Lewis to find his mother. Lewis entered it into Joyce Williams Elementary School science fair. Bowler Hat Guy (under the control of DOR-15) stole it and passed it off as his own. First, a date is typed into a keypad. Then, the user's helmet scans the brain for the corresponding memory, and displays it on the screen. The image is shown as though the viewer is watching through the user's eyes and listening through the user's ears.
It also appears to be able to record a memory for later viewing, as shown when Lewis watched DOR-15's takeover of the world until Lewis returns to the present, warning Goob about DOR-15's true intentions and telling DOR-15 that he will never invented her, restoring the future.",memories,Stephen Anderson,Buena Vista Pictures Distribution,"Walt Disney Animations, Walt Disney Pictures",,,,,2007,Utopia,15,,,,,,,,,0.157894737,0.157894737,,,,,,,,,,,,,,2101,,,,0.157894737,,,,,,,,,,,,,,,,,,,,
X-Men,helmet,cerebral defense,0.746835443,0.283653846,0.379807692,79,20,2041,,,"Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/b2067f6e7145aadf759c35915a02784a.jpg, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/New_Avengers_Vol_1_20_Textless.jpg, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Erik_Lehnsherr_28Earth-1000529_from_X-Men_The_Last_Stand_0001.jpg, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/61wlLDGd5L._AC_SY445._SX._UX._SY._UY_.jpg, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/helmet.jpg",Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/X-Men_The_Last_Stand_theatrical_poster.jpg,23-Aug-63,"Movie, comics, game","dystopia, utopia",Non-invasive,"Telepathic Resistance/Immunity: The helmet protects its wearer from all but the strongest or most unexpected of telepathic attacks. This is achieved due to technology wired into the helmet itself. In the Ultimate Universe, Magneto's helmet protects him against psionic attacks. Quicksilver later copied the blueprints to mass produce it and sell it at the height of anti-Mutant hysteria after the Ultimatum event. A father was wearing a copy so he could murder his telepathic daughter in her sleep without either her or Jean Grey being alerted. Magneto may be able to create his signature helmet by manipulating any metal into the shape, this can be assumed, as despite the helmet being destroyed or taken from his possession, Magneto always has another.",cerebral defense,"Jack Kirby, Stan Lee",20th Century Fox,"20th Century Fox, Marvel Studios",,Marvel Comics,,,1963,"Dystopia, Utopia",59,,,,,,,,,,,,,,,,,,,,,,,,2041,,,,0.746835443,,,,,,,,,,,,,,,,,,,,
Rick and Morty,gun,"memory, reality",0.004975124,0.006666667,1.34,201,200,2221,,Memory Shift Gun,"Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-08-16_at_4.45.32_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-08-16_at_4.45.49_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-08-16_at_4.46.07_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-08-16_at_4.44.20_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-08-16_at_4.45.03_PM.png",Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/v1.dDs5NjI0ODg7ajsxODkxMTsxMjAwOzgxMDsxMDgw.png,16-Aug-21,"comics, game, sitcom","dystopia, utopia",Non-invasive,A gun that transports the user to the memories of their choosing - the bullets are the memories themselves. The bullets are derived from Memory Eraser Gun.,memories,"Dan Harmon, Justin Roiland",Warner Bros. Television,Varies by season,,,,,2021,"Dystopia, Utopia",1,,,,,,,,,0.004975124,0.004975124,,,0.004975124,,,,,,,,,,,2221,,,,0.004975124,,,,,,,,,,,,,,,,,,,,
Rick and Morty,tool,tracking,0.013157895,0.006666667,0.506666667,76,75,2096,,Meta-Cognition Scanner,"Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/IMG_4430.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/IMG_4431.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/IMG_4432.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/IMG_4427.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/IMG_4428.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/IMG_4429.png",Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/v1.dDs5NjI0ODg7ajsxODkxMTsxMjAwOzgxMDsxMDgw%201.png,16-Aug-21,"comics, game, sitcom","dystopia, utopia",Non-invasive,scanner to track one's consciousness,tracking,"Dan Harmon, Justin Roiland",Warner Bros. Television,Varies by season,,,,,2021,"Dystopia, Utopia",1,,,,,,,,,,,0.013157895,,,,,,,,,,,0.013157895,,2096,,,,0.013157895,,,,,,,,,,,,,,,,,,,,
Rick and Morty,tool,control of the user,0.00990099,0.006666667,0.673333333,101,100,2121,,,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-08-16_at_3.39.13_PM.png,Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/v1.dDs5NjI0ODg7ajsxODkxMTsxMjAwOzgxMDsxMDgw%202.png,1-Aug-21,"comics, game, sitcom",dystopia,Invasive,AI created an implant to fully control the human user ,manipulation,"Dan Harmon, Justin Roiland",Warner Bros. Television,Varies by season,,,,,2021,Dystopia,1,,0.00990099,,0.00990099,,,,,,,,,,,,,,,,,,,,2121,101,0.006666667,0.673333333,0.00990099,,,,,,,,,,,,,,,,,,,,
Rick and Morty,helmet,"animal control, communication",0.152542373,0.056962025,0.373417722,59,50,2071,,IQ Enhancing Helmet,"Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen-Shot-2017-10-20-at-10.18.40-PM-300x300.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/IQ_Enhancing_Helmet.jpg, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-08-16_at_3.40.40_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-08-16_at_3.41.13_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-08-16_at_3.41.45_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-08-16_at_3.42.41_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-08-16_at_3.43.09_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-08-16_at_3.43.35_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-08-16_at_3.43.50_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-08-16_at_3.44.05_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/IMG_9910.jpg, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/iq.jpg",Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Rick_and_Morty_season_1.png,16-Aug-13,"comics, game, sitcom","dystopia, utopia",Non-invasive,"The helmet was initially was supposed to mind-control the dogs, but its AI made them extremely intelligent instead. Once it was placed on the dog, it eventually became smart enough to figure out a lot more things about how the humans have been treating him and modifies the helmet to let him communicate with them. He becomes a harsh and cruel dog who soon learns of the humans' mistreatment of the canine race and uses his upgraded intelligence to raise a dog army to take over the world.","animal-BCI, communication","Dan Harmon, Justin Roiland",Warner Bros. Television,Varies by season,,,,,2013,"Dystopia, Utopia",9,,0.152542373,,,,,,,,,,,,,,,,,,,,,,2071,59,0.056962025,0.373417722,0.152542373,,,,,,,,,,,,,,,,,,,,
Rick and Morty,earpiece,"XR, dreams, reality",0.152542373,0.056962025,0.373417722,59,50,2071,,,"Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-09-09_at_12.36.55_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-09-09_at_12.37.31_PM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-09-09_at_12.37.47_PM.png",Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Rick_and_Morty_season_1.png,16-Aug-13,"comics, game, sitcom","dystopia, utopia",Semi-invasive,in-ear device for inception experience: initiate dream sharing and lucid dreaming.,"XR, sleep, unconsciousness","Dan Harmon, Justin Roiland",Warner Bros. Television,Varies by season,,,,,2013,"Dystopia, Utopia",9,,,0.152542373,,0.152542373,,,,,0.152542373,,,0.152542373,,,,,,,,,,,2071,,,,0.152542373,,,,,,,,,,,,,,,,,,,,
Rick and Morty,tool,"consciousness transfer, reading thoughts, reality",0.003322259,0.006666667,2.006666667,301,300,2321,,,"Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/IMG_4415.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/IMG_4416.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/IMG_4417.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/IMG_4419.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/IMG_4420.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/IMG_4421.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/IMG_4422.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/IMG_4423.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/IMG_4425.png",Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/v1.dDs5NjI0ODg7ajsxODkxMTsxMjAwOzgxMDsxMDgw%203.png,1-Aug-21,"comics, game, sitcom","dystopia, utopia",Invasive,converting user to a thought in order to inject it into the consciousness of the other user,consciousness,"Dan Harmon, Justin Roiland",Warner Bros. Television,Varies by season,,,,,2021,"Dystopia, Utopia",1,,0.003322259,0.003322259,,,,,,,0.003322259,,0.003322259,0.003322259,,,,,,,,,,0.003322259,2321,301,0.006666667,2.006666667,0.003322259,,,,,,,,,,,,,,,,,,,,
Black Widow,gas,"control of the user, manipulation",0.038461538,0.006666667,0.173333333,26,25,2046,,,"Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-07-14_at_11.35.04_AM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-07-14_at_11.36.25_AM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-07-14_at_11.36.55_AM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-07-14_at_11.37.21_AM.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Screen_Shot_2021-07-14_at_11.37.36_AM.png",Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/Black_Widow_(2021_film)_poster.jpg,14-Jul-21,"Movie, comics",dystopia,Non-invasive,chemical gas for mind control of the soldiers,"brainwash, manipulation, military",Cate Shortland,"Motion Pictures, Walt Disney Studios",Marvel Studios,,,,,2021,Dystopia,1,,0.038461538,,0.038461538,,,,,,0.038461538,,,,,,,0.038461538,,,,,,,2046,26,0.006666667,0.173333333,0.038461538,,,,,,,,,,,,,,,,,,,,
Reminiscence,"drug, helmet, hologram, tank with water","XR, memory",0.00990099,0.006666667,0.673333333,101,100,2121,,Reminiscence Machine,"Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/IMG_3928.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/IMG_3930.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/IMG_3932.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/IMG_3929.png, Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/IMG_3931.png",Sci-Fi%20Table_copy_07052022%20140058b1791b419894779170b29d1271/MV5BODBkMTNmMmQtYTNlMy00OTRhLWE5MzgtYTZlMTUyYzY1MzkzXkEyXkFqcGdeQXVyNjY1MTg4Mzc._V1_.jpg,19-Aug-21,Movie,"dystopia, utopia",Non-invasive,"The Reminiscence Machine, which consists of a wireless helmet, water tank, holograms and a drug, is a system that allows a person to relive any memory they desire. The Reminiscence machine emanates from the war fought because of climate change. Nick Bannister served in the Navy but he was drafted for Border Patrol, where he worked as an interrogator. The Reminiscence machine originated as government technology that Nick used to interrogate prisoners by delving into their memories. However, after the war, being able to live in the past and experience your happiest memories repeatedly became something people were willing to pay for as a temporary escape from the harsh realities of post-apocalyptic nightlife in Miami. Somehow, Nick acquired the Reminiscence machine and set up a business in Miami's Spill-Zone, Bannister and Associate, that allows Nick to charge his clients by the hour to relive their most cherished memories.",memories,Lisa Joy,Warner Bros. Pictures,FilmNation Entertainment,,,,,2021,"Dystopia, Utopia",1,,,,,,,,,0.00990099,0.00990099,,,0.00990099,,,,,,,,,,,2121,,,,0.00990099,,,,,,,,,,,,,,,,,,,,
