Title,Name of BCI,Form-factor,Category of BCI,Date,Type of Media (tentative),Utopia/Dystopia - tech-wise,Level of invasiveness,reality factor,neurafictionality,neuroptimism,BCI forecast,Description,Keywords,Author/Directed by,Distributed by,Production Company,Near Future,Year,Utopia/Dystopia in the media,years since publication,prediction
Rick and Morty,,tool,"consciousness transfer, reading thoughts, reality",1-Aug-21,"comics, game, sitcom","dystopia, utopia",Invasive,0.003322259,0.006666667,2.006666667,301,converting user to a thought in order to inject it into the consciousness of the other user,consciousness,"Dan Harmon, Justin Roiland",Warner Bros. Television,Varies by season,300,2021,"Dystopia, Utopia",1,2321
Black Widow,,gas,"control of the user, manipulation",14-Jul-21,"Movie, comics",dystopia,Non-invasive,0.038461538,0.006666667,0.173333333,26,chemical gas for mind control of the soldiers,"brainwash, manipulation, military",Cate Shortland,"Motion Pictures, Walt Disney Studios",Marvel Studios,25,2021,Dystopia,1,2046
Reminiscence,Reminiscence Machine,"drug, helmet, hologram, tank with water","XR, memory",19-Aug-21,Movie,"dystopia, utopia",Non-invasive,0.00990099,0.006666667,0.673333333,101,"The Reminiscence Machine, which consists of a wireless helmet, water tank, holograms and a drug, is a system that allows a person to relive any memory they desire. The Reminiscence machine emanates from the war fought because of climate change. Nick Bannister served in the Navy but he was drafted for Border Patrol, where he worked as an interrogator. The Reminiscence machine originated as government technology that Nick used to interrogate prisoners by delving into their memories. However, after the war, being able to live in the past and experience your happiest memories repeatedly became something people were willing to pay for as a temporary escape from the harsh realities of post-apocalyptic nightlife in Miami. Somehow, Nick acquired the Reminiscence machine and set up a business in Miami's Spill-Zone, Bannister and Associate, that allows Nick to charge his clients by the hour to relive their most cherished memories.",memories,Lisa Joy,Warner Bros. Pictures,FilmNation Entertainment,100,2021,"Dystopia, Utopia",1,2121
The Adjustment Bureau,,tool,memory,1-Jul-11,"Movie, Short Story",dystopia,Non-invasive,0.180327869,0.06875,0.38125,61,erasing memories,,George Nolfi,Universal Pictures,"Gambit Pictures, Media Rights Capital",50,2011,Dystopia,11,2071
Infinite,,MRI,memory,6-Jul-21,Movie,"dystopia, utopia",Non-invasive,0.006622517,0.006666667,1.006666667,151,MRI-like machine to revive memories from previous lives,,Antoine Fuqua,Paramount+,Paramount Pictures,150,2021,"Dystopia, Utopia",1,2171
Infinite,,chip,storage,6-Jul-21,Movie,dystopia,Non-invasive,0.006622517,0.006666667,1.006666667,151,chip to store consciousness of the person,,Antoine Fuqua,Paramount+,Paramount Pictures,150,2021,"Dystopia, Utopia",1,2171
Infinite,,tank with water,memory,6-Jul-21,Movie,"dystopia, utopia",Non-invasive,0.006622517,0.006666667,1.006666667,151,tank with water to extend a near-death experience to revive the memories,,Antoine Fuqua,Paramount+,Paramount Pictures,150,2021,"Dystopia, Utopia",1,2171
Infinite,,bullet,termination,6-Jul-21,Movie,"dystopia, utopia",Non-invasive,0.006622517,0.006666667,1.006666667,151,A weapon to prevent reincarnation and transfer of consiousness,,Antoine Fuqua,Paramount+,Paramount Pictures,150,2021,"Dystopia, Utopia",1,2171
StarCraft,memory wipe,helmet,memory,1-Jan-98,game,dystopia,Non-invasive,0.193548387,0.138728324,0.716763006,124,"A memory wipe (a.k.a. mind wipe) is the removal of an individual's memories. It is utilized by the Ghost Program, begun when the shortcomings of the psychic dampener became apparent in the wake of Sarah Kerrigan's defection in 2491. As such, memory wipes became standard operating procedure, allowing for more permanent control of its ghost agents, along with helping conceal information. Memory wipes ceased to be mandatory for ghost agents after Valerian Mengsk came to power.
The memory assignment protocol is run by an electrical device based in a neuro-lab which nullifies the use of psychic powers. In 2501, it was generally operated by Superintendent Sarco Angelini, himself a ghost.
Nova about to undergo a mind wipe
In addition to long-term wipes, a wipe can be used to erase memories from a specific span of time. The device wouldn't be used on a severely injured ghost, however. Some residual memories may reside in the subject after a memory wipe, which can possibly influence their personality on the sub-conscious level.
Terrazine can reverse the effects of a memory wipe through its rejuvenation of a telepath's brain cells. In addition, some forms of psychic trauma, such as that inflicted on Gabriel Tosh, also render memory wipes ineffective. In a more practical sense, ghosts can potentially learn of their previous missions by way of stored files, though these files require top-level clearance to access, with said access being doled out on a need to know basis.",,,,,100,1998,Dystopia,24,2121
StarCraft,psi-inhibitor ,implant,"control of the user, manipulation",1-Jan-98,game,dystopia,Invasive,0.193548387,0.138728324,0.716763006,124,"The psi-inhibitor is a specialized neural inhibitor which was used by the Terran Dominion's Project Gestalt to control protoss prisoners.
When implanted on a protoss' brain, it prevented them from accessing the Khala or doing anything other than communicate telepathically. They could be controlled at range to change the amount of restriction.",prison,,,,100,1998,Dystopia,24,2121
StarCraft,Neural inhibitor                      neuro-adjuster                     psychic dampener,implant,"control of the user, emotions",1-Jan-98,game,dystopia,Invasive,0.324324324,0.138728324,0.427745665,74,"Neural inhibitors (also known as neuro-adjusters or psychic dampeners) are cybernetic implants that were used by the Confederate Ghost Program (and later, the Dominion) to control their ghost agents through keeping their aggression levels and behavioral patterns in check. These devices weaken their psionic powers, and by extension, make it easier for ghosts to screen out the thoughts of other individuals. Implanted in the brain, neural inhibitors can regulate brain and blood chemistry and reroute neural pathways in order to keep the ghost's emotional state in check. The implants can be fatal and their method of operation is very similar to neural resocialization, but ""much worse"".
The location of neural inhibitors can be tracked by some officers, both Confederate and Dominion.The implantation process leaves scarred tissue.
The drawback to neural inhibitors is that they can be surgically removed, or in rare cases, malfunction. Upon the defection of Sarah Kerrigan, psychic dampeners were abandoned by the Confederacy in favor of the more effective memory wipe technique. However, previously-implanted ghosts (such as Devon Starke) usually did not have their dampeners removed. Ghosts who retained them that became spectres under Project Shadow Blade had their inhibitors removed in order to avoid detection. Some ghosts have used their psionic powers to disable their inhibitors, though such a procedure comes at a great risk.
The Dominion utilizes both the mind wipe technique and neural inhibitors.
After the End War, the Terran Dominion developed a device that could partially undo the effects of memory alteration by delivering an electric pulse through a neural inhibitor.",,,,,50,1998,Dystopia,24,2071
X2: X-Men United,Neural Inhibitor,helmet,control of the user,1-Jan-03,Movie,dystopia,Non-invasive,0.159663866,0.113095238,0.708333333,119,"The Neural Inhibitor is a piece of equipment designed by William Stryker to suppress the mental abilities of telepaths. Used on Professor X while he was held captive at Stryker's base underneath Alkali Lake. The device was developed to prevent telepathic mutants from reading the minds of others. It was also used to make Professor X vulnerable to Jason Stryker's illusions. Once Xavier was firmly under Jason's control, the device was no longer needed.",,Bryan Singer,20th Century Fox,"Bad Hat Harry, Marvel Studios",100,2003,Dystopia,19,2121
Demolition Man,,helmet,emotions,1-Jan-93,Movie,"dystopia, utopia",Non-invasive,0.367088608,0.162921348,0.443820225,79,"When Lenina makes an offer to John Spartan for “sex” in Demolition Man, it turns out to be a meeting of the pleasure centers of their minds. To perform the act, they sit a few feet apart and don one of a pair of headgear, then close their eyes and relax. The headgear has a small red light to indicate that it is on. Each feels pleasure and sees psychedelic, sensual images of the other. Disconcerted with the unfamiliar, virtual nature of the experience, Spartan removes the headgear before climax, so there’s no indication of how the interaction ordinarily culminates",pleasure,Marco Brambilla,Warner Bros. Pictures,Silver Pictures,50,1993,"Dystopia, Utopia",29,2071
eXistenZ,,implant,XR,1-Jan-99,Movie,"dystopia, utopia","Invasive, Non-invasive",0.18699187,0.13372093,0.715116279,123,"The real-world system uses headgear and a controller in the player’s hands. The in-game biological system has similar controls for the player’s hands, but the other component is a spinal jack with a cord that looks  like an umbilical cord.",,David Cronenberg,Alliance Atlantis,"Canadian TV Fund, Dimension Films",100,1999,"Dystopia, Utopia",23,2121
Paycheck,,helmet,memory,1-Jan-03,Movie,dystopia,Non-invasive,0.131944444,0.113095238,0.857142857,144,device for wiping memory,,John Woo,"DreamWorks Pictures, Paramount Pictures","Davis Entertainment, Lion Rock Entertainment",125,2003,Dystopia,19,2146
The Adjustment Bureau,,tool,memory,1-Jan-11,Movie,dystopia,Non-invasive,0.080882353,0.06875,0.85,136,"The devices used to alter memories are handheld cylinders, but one shines lines of light into the subject’s eyes, and the other ends in an illuminated disk held near the subject’s temple.",,George Nolfi,Universal Pictures,"Gambit Pictures, Media Rights Capital",125,2011,Dystopia,11,2146
"StarGate SG-1, “Lost City”",,lifeform,knowledge upload,1-Jan-04,TV Series,"dystopia, utopia",Non-invasive,0.125874126,0.107784431,0.856287425,143,"Colonel O’Neil is grabbed by a piece of fluid architecture, and alien information
is painfully forced into his brain",,"Brad Wright, Jonathan Glassner",MGM Television Distribution,MGM Television,125,2004,"Dystopia, Utopia",18,2146
"Chuck, S1 EP1 ""Versus the Intersect""",,software,knowledge upload,1-Jan-07,TV Series,dystopia,Non-invasive,1,0.091463415,0.091463415,15,subliminal data transmission via ordinary computer - government secrets which are subconsciously transmitted into his brain.,,McG,Warner Bros. Television,"College Hill Pictures Inc., Warner Bros. Television",0,2007,"Dystopia, Utopia",15,2021
"Chuck, S2 E3 ""Chuck Versus the Break-Up""",Intersect Glasses,glasses,knowledge upload,1-Jan-08,TV Series,"dystopia, utopia",Non-invasive,0.21875,0.085889571,0.392638037,64,Intersect Glasses are glasses that contain a portion of if not complete files for the Intersect.,,Robert Duncan McNeil,Warner Bros. Television,"College Hill Pictures Inc., Warner Bros. Television",50,2008,"Dystopia, Utopia",14,2071
Chrysalis,,chair,memory,1-Jan-07,Movie,dystopia,Non-invasive,0.130434783,0.091463415,0.701219512,115,"The device is meant to “shape memories,” but a gangster is using it to implant memories.",,Julien Leclercq,Gaumont,"Gaumont, TF1 Films Productions",100,2007,Dystopia,15,2121
"Dollhouse, S1 EP9 “Spy in the House of Love”",,chair,knowledge upload,1-Jan-09,TV Series,dystopia,Non-invasive,0.094202899,0.080246914,0.851851852,138,Dollhouse procedure in which new personalities and memories are uploaded into human “dolls”,,David Solomon,20th Television,"20th Century Fox Television, Mutant Enemy Productions",125,2009,Dystopia,13,2146
"Dollhouse, S2 EP12 ""The Hollow Men""",,tool,memory,1-Jan-10,TV Series,dystopia,Non-invasive,0.087591241,0.074534161,0.850931677,137,"the doll technology has advanced to a stage where any person’s mind can be wiped from a distance. This throws all of civilization into terrified, anti-technology chaos.",,Terrance O'Hara,20th Television,"20th Century Fox Television, Mutant Enemy Productions",125,2010,Dystopia,12,2146
"Dollhouse, S1 EP1 “Ghost”",,chair,memory,1-Jan-09,TV Series,dystopia,Non-invasive,0.094202899,0.080246914,0.851851852,138,Agents working for the Dollhouse have their minds wiped and replaced while sitting in a reclining chair,,Joss Whedon,20th Television,"20th Century Fox Television, Mutant Enemy Productions",125,2009,Dystopia,13,2146
Flight of the Navigator,,helmet,"communication, knowledge upload, reading thoughts, storage, telepathy",1-Jan-86,Movie,"dystopia, utopia",Non-invasive,0.223602484,0.194594595,0.87027027,161,helmet demonstrating hidden knowledge within the brain of the user,,Randel Kleiser,Buena Vista Pictures Distribution,PSO Productions,125,1986,"Dystopia, Utopia",36,2146
The Lawnmower Man,,helmet,XR,1-Jan-92,Movie,dystopia,Non-invasive,0.193548387,0.167597765,0.865921788,155,enhancement of cognitive activity ,,Brett Leonard,New Line Cinema,Allied Vision,125,1992,Dystopia,30,2146
Metropolis,Maschinenmensch,helmet,"consciousness transfer, manipulation",1-Jan-25,"Movie, Novel",dystopia,Non-invasive,0.436936937,0.394308943,0.902439024,222,"Maschinenmensch is a gynoid (female robot or android) created by the scientist Rotwang. The robot is often referred to as ""Maria"", and is well known for this, but was technically never named in the film. In the beginning credits of the film, it is simply referred to as ""the Robot"". She was named ""Futura"" in Thea von Harbou's original novel Metropolis. Maschinenmensch was one of the first robots ever depicted in cinema. Rotwang copies Maria’s mind into a robot. As the extraction occurs, electricity arcs between Maria’s chamber and a sphere directly above it, and strange chemicals bubble in flasks. The helmet she wears in the chamber is a material conduit and doesn’t provide any signal. We know the data—in this case, her mind—has been copied when we see the robot’s stiff, metallic appearance transform until it looks and moves just like Maria.",,Thea von Harbou,Parufamet,UFA (Germany),125,1925,Dystopia,97,2146
"Dollhouse, S1 EP13 ""Epitaph""",,implant,"control of the user, knowledge upload, linking, manipulation",1-Jan-10,TV Series,"dystopia, utopia",Invasive,0.087591241,0.074534161,0.850931677,137,jacks implanted in the face that let people upload and erase information and skill modules at will,,David Solomon,20th Television,"20th Century Fox Television, Mutant Enemy Productions",125,2010,Dystopia,12,2146
"Buck Rogers, War of the Planets ",amnesia helmet,helmet,"control of the user, memory",1-Jan-39,"Novel, TV Series",dystopia,Non-invasive,0.805825243,0.357758621,0.443965517,103,"amnesia helmet, to control and manipulate the user, and give them the orders",,"Ford Beebe, Philip Francis Nowlan",Universal Pictures,Universal Pictures,20,1939,Dystopia,83,2041
Rick and Morty,,helmet,"emotions, reading thoughts",1-Jan-15,"comics, game, sitcom","dystopia, utopia",Non-invasive,0.065420561,0.044871795,0.685897436,107,"This is a helmet that reads the thoughts and feelings of a person about their love partner. The helmet is attached to a machine that creates one’s live perception of their love partner, a mytholog. The idea behind the therapy is that the perceptions (mythologs) are not the real marriages and that they are all safe from the perceptions.",,"Dan Harmon, Justin Roiland",Warner Bros. Television,Varies by season,100,2015,"Dystopia, Utopia",7,2121
Rick and Morty,,"stand-alone electrodes, tank with water",consciousness transfer,1-Jan-15,"comics, game, sitcom","dystopia, utopia",Non-invasive,0.053030303,0.044871795,0.846153846,132,machine that transfers consciousness,,"Dan Harmon, Justin Roiland",Warner Bros. Television,Varies by season,125,2015,"Dystopia, Utopia",7,2146
Hotel Transylvania 3: Summer Vacation,,exoskeleton,exoskeleton,1-Jan-18,Anime,utopia,N/A,0.074074074,0.026143791,0.352941176,54,"one of the heroes, Van Helsing, has his body fully mechanized, to avoid death but his brain is fully functioning.",,Genndy Tartakovsky,Sony Pictures Releasing,"Columbia Pictures, Sony Pictures Animation",50,2018,Utopia,4,2071
OtherLife,OtherLife,drug,"XR, memory, reality",1-Jan-17,Movie,"dystopia, utopia",Non-invasive,0.038461538,0.032467532,0.844155844,130,"OtherLife is a biological form of virtual reality called that can create realistic memories. OtherLife transports users’ brains into VR-esque settings where they experience all the senses they use in reality. Also, importantly, their grasp of time is expanded, meaning seconds or minutes in real life are experienced as days, months or years inside the user’s modified mind.",,Ben C. Lucas,Netflix,"Cherry Road Films, See Pictures",125,2017,"Dystopia, Utopia",5,2146
Self Less,shedding,MRI,consciousness transfer,1-Jan-15,Movie,"dystopia, utopia",Non-invasive,0.053030303,0.044871795,0.846153846,132,one's consciousness is transferred to an artificially grown body,,Tarsem Singh,Focus Features,Endgame Entertainment,125,2015,"Dystopia, Utopia",7,2146
Reversion,Oubli,earpiece,memory,1-Jan-15,Movie,dystopia,Non-invasive,0.085365854,0.044871795,0.525641026,82,"Oubli is a sleek earpiece that, through neuroscience, allows the user to access and relive only happy memories.",,Jose Nestor Marquez,,"Angel Valley Productions, Serena Films",75,2015,Dystopia,7,2096
Rememory ,,headset,memory,1-Jan-17,Movie,dystopia,Non-invasive,0.0625,0.032467532,0.519480519,80,"a device that allows one to record memories and watch them. Bloom sets about trying to solve the murder using this memory machine. Bloom learns that Dunn’s device has a technical fault which causes recurring hallucinations for its users including him. Most of the users have been quite upset with Dunn, directly blaming him for their mental deterioration. He also finds out that Dunn and his wife Carolyn (Julia Ormond) were separated after they lost their only daughter in an accident. After a confrontation with one of his patients, Dunn realized how much pain his machine caused people and attempted to use it to erase his own painful memories. However, doing so resulted in his death when the machine sent him into synaptic failure.
Bloom re-watches his “accident memory” and finds out that the Dunns were in the other car and that their daughter was killed in the collision. Bloom had fled the scene after seeing the little girl dead, leaving his brother to take the fall. Bloom hands over his memory to Carolyn as a sort of confession apology. Time passes and it is unclear if she watches the memory glass, later she throws it into the sea with Dunn’s recordings as she watches her daughter playing on the water—a hallucination resulting from her own use of the memory device. A montage of the lives of everyone affected by the device is shown over the launch of the repaired memory device while a recording by Dunn plays describing the power of memories for a person.",,Mark Palansky,Lionsgate Premiere,"First Point Entertainment, Great Point Media",75,2017,Dystopia,5,2096
G.I. Joe: The Rise of Cobra,nanomites,implant,,1-Aug-09,"Movie, game",dystopia,Invasive,0.393939394,0.080246914,0.203703704,33,"Nanomite warheads
Nanomites, also known as nano-mites or nanites are extremely microscopic robot forms usually measuring in the incredible scale of nanometers. They have been used by both Joe and Cobra forces in their never-ending battle to stop each other. Military use is not the only way to utilize these amazing machines as there are also more beneficial applications such as in the field of medicine and construction. Nanomite-enhanced Neo-Vipers, soldiers who are completely obedient, fearless, and feel no pain. The nanomites can also expunge any toxins from the body, making them ""perfect little healers,"" and are able to heal almost any injury. The Doctor had also used nanomites on his sister,",military,Stephen Sommers,Paramount Pictures,"Di Bonaventure Pictures, Spyglass Entertainment",20,2009,Dystopia,13,2041
The Consolidator,Cogitator (The Chair of Reflection),chair,stimulation,"January 1, 1705",Novel,utopia,Non-invasive,0.863760218,0.680257511,0.787553648,367,A device which improves the rationality of the thinking processes.,,Daniel Defoe,,,50,1705,Utopia,317,2071
The Ancient Brain,Electro-Culturer,N/A,stimulation,1-Jan-29,Novel,"dystopia, utopia",N/A,0.82300885,0.384297521,0.466942149,113,A device used to artificially stimulate cell growth and development.,,A.G. Stangland,,,20,1929,"Dystopia, Utopia",93,2041
Brain Control,Automatic Reversed Memory,helmet,"memory, stimulation",1-Jan-37,Novel,"dystopia, utopia",Non-invasive,0.404761905,0.363247863,0.897435897,210,A device that activates memories and plays them back in reverse order.,,Dave Cummins,,,125,1937,"Dystopia, Utopia",85,2146
The Ancient Brain,Personal Metallic Record Disc,"chair, helmet",recording brain activity,1-Jan-29,Novel,"dystopia, utopia",Non-invasive,0.65034965,0.384297521,0.590909091,143,A stamped metal record that contains all of a person's data in a convenient form.,,A.G. Stangland,,,50,1929,"Dystopia, Utopia",93,2071
"Ben Gleed, King of Speed",Electric Brain Stimulator,N/A,"linking, stimulation",1-Jan-39,Novel,"dystopia, utopia",N/A,0.62406015,0.357758621,0.573275862,133,A device that coordinated the waves of the brain with an external device to improve performance,,Don Wilcox,,,50,1939,"Dystopia, Utopia",83,2071
The Knowledge Machine,Learning Cap,N/A,"knowledge upload, stimulation",1-Jan-48,Novel,"dystopia, utopia",N/A,0.425287356,0.331838565,0.780269058,174,A special metal helmet for electro-education,education,Michael Strevens,,,100,1948,"Dystopia, Utopia",74,2121
The Knowledge Machine,Brain Erasure,N/A,"memory, stimulation",1-Jan-48,Novel,dystopia,N/A,0.496644295,0.331838565,0.668161435,149,Deleting selected knowledge from the brain using electrical impulses,education,Michael Strevens,,,75,1948,Dystopia,74,2096
Cities in Flight,Accelerated Schooling,N/A,"knowledge upload, stimulation",1-Jan-57,Novel,"dystopia, utopia",N/A,0.342105263,0.303738318,0.887850467,190,A device that stimulates the brain and imparts knowledge directly,education,James Blish,,,125,1957,"Dystopia, Utopia",65,2146
A Planet Named Shayol,Pleasure Cap,N/A,stimulation,1-Jan-61,Novel,"dystopia, utopia",N/A,0.54954955,0.29047619,0.528571429,111,A device that delivers amps of pleasure directly to the brain,pleasure,Cordwainer Smith,,,50,1961,"Dystopia, Utopia",61,2071
Known Space,Tasp,"implant, tool",stimulation,1-Jan-64,Novel,dystopia,"Invasive, Non-invasive",0.537037037,0.280193237,0.52173913,108,"A device that fires an inductance beam which stimulates the pleasure center of the brain, creating an instant feeling of total and pure joy, ecstasy. It's used to render threatening opponents completely helpless. Enough exposure to the tasp causes addiction, making the victim an unwitting slave.","addiction, pleasure",Larry Niven,,,50,1964,Dystopia,58,2071
Known Space,Droud,"implant, tool",stimulation,1-Jan-64,Novel,dystopia,"Invasive, Non-invasive",0.537037037,0.280193237,0.52173913,108,"A device that fires an inductance beam which stimulates the pleasure center of the brain, creating an instant feeling of total and pure joy, ecstasy. It's used to render threatening opponents completely helpless. Enough exposure to the tasp causes addiction, making the victim an unwitting slave.","addiction, pleasure",Larry Niven,,,50,1964,Dystopia,58,2071
The Three Stigmata of Palmer Eldritch,E Therapy/Bubblehead,N/A,stimulation,1-Jan-65,Novel,"dystopia, utopia",N/A,0.221789883,0.276699029,1.247572816,257,"A person who as undergone E therapy, and achieved the frontal lobe of their dreams.",,Philip K. Dick,,,200,1965,"Dystopia, Utopia",57,2221
The Dream Master,Vision Implant,implant,stimulation,1-Jan-66,Novel,utopia,Invasive,0.528301887,0.273170732,0.517073171,106,Photoelectric cell implanted in the forehead grants some vision to the blind.,,Roger Zelazny,,,50,1966,Utopia,56,2071
"Captain Scarlet and the Mysterons, EP6 ""Operation Time"" ",cerebral pulsator,implant,"linking, stimulation",1-Jan-67,TV Series,"dystopia, utopia",Invasive,0.423076923,0.269607843,0.637254902,130," pioneering medical device called the ""cerebral pulsator"", implant for stimulation and linking",medical,Ken Turner,ITC Entertainment,Century 21 Productions,75,1967,"Dystopia, Utopia",55,2096
Star Trek: The Original Series,Mind Scanner,N/A,"manipulation, reading thoughts, recording brain activity, stimulation",1-Jan-67,"Anime, Movie, Novel, TV Series, comics, game",dystopia,,0.35483871,0.269607843,0.759803922,155,"The device was operated by reaching directly into a subject's mind and recording every thought and bit of knowledge within. Designed with variable settings, which determined the amount of force used, it could be a mind sifter or a mind ripper to its subject. If too much force was used, it would cause brain damage leaving the mind permanently emptied and the subject a ""mental vegetable.""",,Gene Roddenberry,NBC Universal Television,"Desilu Productions, Paramount Television",100,1967,Dystopia,55,2121
Riders of the Purple Wage,Fornixation,implant,stimulation,1-Jan-67,Novel,dystopia,Invasive,0.733333333,0.269607843,0.367647059,75,Electrical stimulation of the pleasure centers of the brain.,pleasure,Philip Jose Farmer,,,20,1967,Dystopia,55,2041
Star Trek: The Original Series,Neural stimulator,"helmet, stand-alone electrodes",stimulation,1-Jan-68,"Anime, Movie, TV Series, comics, game","dystopia, utopia",Non-invasive,1,0.266009852,0.266009852,54,"A medical instrument used to stimulate particular areas of a humanoid brain. These devices could be operated by remote control, if necessary. In Star Trek, the device is mostly used to provide the critical life support after fatal wounds.",,Gene Roddenberry,NBC Universal Television,"Desilu Productions, Paramount Television",0,1968,Dystopia,54,2021
Sword Art Online,NerveGear,helmet,"control of the user, manipulation",1-Jan-09,"Anime, Movie, Novel, game","dystopia, utopia",Non-invasive,0.206349206,0.080246914,0.388888889,63,"It only has a single interface that covers a player's whole head and face. It completely controls the player's consciousness by redirecting the signals the brain sends to the body and sending its own waves to stimulate the five senses. It has its own battery source, as well as a high frequency electromagnetic microwaves transmitter. Puzzles, education related games, or environmental type games were first produced for NerveGear.",gaming,Reki Kawahara,Aniplex,A-1 Pictures,50,2009,Dystopia,13,2071
The Outer Limits,,implant,control of the user,1-Jan-96,TV Series,dystopia,Invasive,0.257425743,0.148571429,0.577142857,101,The administrators are actually controlling the students through a chip inserted into their heads. They want to create a group of business executives who are willing to commit murder in order to make more money for their companies.,education,Leslie Stevens,United Artists Television,"Daystar Productions, United Artists Television",75,1996,Dystopia,26,2096
Star Trek: The Next Generation,Psi-wave transceiver,implant,"control of the user, memory, telepathy",1-Jan-93,"Anime, Movie, TV Series, comics, game",dystopia,Invasive,0.367088608,0.162921348,0.443820225,79,"Psi-wave transceiver were transceiver implants used by the Prytt for interrogation purposes. They were connected directly to the brain stem of an individual and slowly adapted to their psi-wave patterns, eventually allowing the Prytt direct access to the individual's memory engrams. The devices could also be calibrated to connect two individuals, making them unable to move too far from one another without causing both to experience nausea. While the main purpose of this was to keep prisoners from wandering very far from one another, it also had the side effect of allowing them to read one another's thoughts.",prison,Gene Roddenberry,Paramount Pictures,Paramount Television,50,1993,Dystopia,29,2071
Mona Lisa Overdrive,BrainLock,headset,control of the user,1-Jan-88,Novel,"dystopia, utopia",Non-invasive,0.62962963,0.18579235,0.295081967,54,"A technique to focus the attention of prisoners on a limited task, precluding the possibility of escape.
",prison,William Gibson,,,20,1988,"Dystopia, Utopia",34,2041
Mona Lisa Overdrive,Korsakov ‘s,headset,control of the user,1-Jan-88,Novel,"dystopia, utopia",Non-invasive,0.62962963,0.18579235,0.295081967,54,"A type of mind control imposed on prisoners to make them more manageable during their prison time.
",prison,William Gibson,,,20,1988,"Dystopia, Utopia",34,2041
Mona Lisa Overdrive,Trode-Net,headset,linking,1-Jan-88,Novel,"dystopia, utopia",Non-invasive,0.62962963,0.18579235,0.295081967,54,"access computers directly, without using a keyboard or mouse (or any other input device). In this case, the connection is achieved by using a kind of webbing with electrodes embedded in it.
",,William Gibson,,,20,1988,"Dystopia, Utopia",34,2041
Neuromancer,Neural Cut Out Chip,implant,linking,1-Jan-86,"Movie, Novel, game, opera",dystopia,Invasive,0.264705882,0.194594595,0.735135135,136,"An electronic device which, when implanted in the brain of the subject, allows software to take over that person's body.",XR,William Gibson,,,100,1986,Dystopia,36,2121
The Vindicator,,software,control of the user,1-Jan-86,Movie,dystopia,N/A,0.264705882,0.194594595,0.735135135,136,"""rage program"" software that can sense when a user is provoked/endangered and take over its brain to destroy the attacker and then return to normal once the threat has been eliminated",violence,Jean-Claude Lord,20th Century Fox,Michael Levy Enterprises,100,1986,Dystopia,36,2121
Spin State Trilogy,,N/A,control of the user,1-Jan-03,Novel,dystopia,N/A,0.159663866,0.113095238,0.708333333,119,Hardware memory backups to allow other people or AI control person’s body,memories,Chris Moriarty,,,100,2003,Dystopia,19,2121
Embedded,,N/A,"consciousness transfer, control of the user",1-Jan-11,Novel,"dystopia, utopia",N/A,0.099099099,0.06875,0.69375,111,"Sharing consciousness, taking over the body",consciousness,Dan Abnett,,,100,2011,"Dystopia, Utopia",11,2121
Fringe,,"implant, tool","control of the user, dreams, manipulation",1-Jan-08,TV Series,dystopia,"Invasive, Non-invasive",0.122807018,0.085889571,0.699386503,114,"Mind control is mentioned in the ""Pilot"", but not explored further until The Equation where a device that uses a series of flashing green and red lights appears to induce a hypnogogic state that psychologically freezes a man while his son is being abducted. Later Walter perfects his own version of the device and causes Peter to cut off his own shirt sleeves. In each case the victim does not remember any of the period where they were under mind control.
A more intrusive version of this phenomena was explored in ""Dream Logic"", where Dr. Laxmeesh Nayak has created an brain implanted chip with the pretext of helping sleep disorder sufferers. Although Dr. Nayaks motivations aren't completely clear, he apparently is using his device to both experience their dreams and induce hallucinations in his victims at the same time. While not directly mind control, the induced hallucinations can trigger behaviors beyond the conscious control of the victim.
A direct ability of controlling a physical body is demonstrated by Tyler Carson in ""Of Human Action"" where he appears to have the power to override voluntary muscle behavior of other people within a certain range. Walter somehow determined a method of counteracting this ability using ""white noise"".",manipulation,"Alex Kurtzman, J. J. Abrams, Roberto Orci",Warner Bros. Television,"Bad Robot Productions, Warner Bros. Television",100,2008,Dystopia,14,2121
Upgrade,,implant,"control of the user, linking, recording brain activity, rehabilitation, storage",1-Jan-18,Movie,"dystopia, utopia",Invasive,0.074074074,0.026143791,0.352941176,54,"STEM - implant used for linking, stimulation",,Leigh Whannell,"BH. Tilt, OTL Releasing","Blumhouse Productions, Goalpost Pictures",50,2018,"Dystopia, Utopia",4,2071
The Manchurian Candidate,,implant,control of the user,1-Jan-04,"Movie, Novel",dystopia,Invasive,0.264705882,0.107784431,0.407185629,68,"For a means of mind control, the presidential hopeful Raymond Shaw unknowingly has a chip implanted in his head by Manchurian Global, a fictional geopolitical organization aimed at making parts of the government sleeper cells, or puppets for their monetary advancement.",geopolicy,"Jonathan Demme, Richard Condon",Paramount Pictures,Scott Rudin Productions,50,2004,Dystopia,18,2071
Hardwired,psi-comp implant,implant,"advertisement, control of the user",1-Jan-09,Movie,dystopia,Invasive,0.302325581,0.080246914,0.265432099,43,"Luke has severe brain damage, but Hope Corporation agrees to implant a chip into his brain to save his life. He discovers that this chip also constantly sends advertisements until either the person obtains the product, or they go insane.",advertisement,Ernie Barbarash,Sony Pictures Home Entertainment,Stage 6 Films,30,2009,Dystopia,13,2051
